playerLabel,question,answer
科倫廷·馬丁斯,科倫廷·馬丁斯的性别是什么？,男
科倫廷·馬丁斯,科倫廷·馬丁斯的出生日期是什么？,1969-07-11
科倫廷·馬丁斯,科倫廷·馬丁斯来自哪个国家？,法國
科倫廷·馬丁斯,科倫廷·馬丁斯的身高是多少？,172.0
科倫廷·馬丁斯,科倫廷·馬丁斯的性别是什么？,男
薩布里·拉穆奇,薩布里·拉穆奇的出生日期是什么？,1971-11-09
薩布里·拉穆奇,薩布里·拉穆奇来自哪个国家？,法國
薩布里·拉穆奇,薩布里·拉穆奇的身高是多少？,175.0
薩布里·拉穆奇,薩布里·拉穆奇的性别是什么？,男
薩布里·拉穆奇,薩布里·拉穆奇的出生日期是什么？,1971-11-09
薩布里·拉穆奇,薩布里·拉穆奇来自哪个国家？,突尼西亞
薩布里·拉穆奇,薩布里·拉穆奇的身高是多少？,175.0
薩布里·拉穆奇,薩布里·拉穆奇的性别是什么？,男
於爾根·盧卡達,於爾根·盧卡達的出生日期是什么？,1993-11-07
於爾根·盧卡達,於爾根·盧卡達来自哪个国家？,荷兰王国
於爾根·盧卡達,於爾根·盧卡達的身高是多少？,191.0
於爾根·盧卡達,於爾根·盧卡達的性别是什么？,男
孟菲斯·德佩,孟菲斯·德佩的出生日期是什么？,1994-02-13
孟菲斯·德佩,孟菲斯·德佩来自哪个国家？,迦納
孟菲斯·德佩,孟菲斯·德佩的身高是多少？,178.0
孟菲斯·德佩,孟菲斯·德佩的性别是什么？,男
孟菲斯·德佩,孟菲斯·德佩的出生日期是什么？,1994-02-13
孟菲斯·德佩,孟菲斯·德佩来自哪个国家？,荷兰王国
孟菲斯·德佩,孟菲斯·德佩的身高是多少？,178.0
孟菲斯·德佩,孟菲斯·德佩的性别是什么？,男
雨果·洛里斯,雨果·洛里斯的出生日期是什么？,1986-12-26
雨果·洛里斯,雨果·洛里斯来自哪个国家？,法國
雨果·洛里斯,雨果·洛里斯的身高是多少？,188.0
雨果·洛里斯,雨果·洛里斯的性别是什么？,男
马修·德比希,马修·德比希的出生日期是什么？,1985-07-28
马修·德比希,马修·德比希来自哪个国家？,法國
马修·德比希,马修·德比希的身高是多少？,176.0
马修·德比希,马修·德比希的性别是什么？,男
阿迪尔·拉米,阿迪尔·拉米的出生日期是什么？,1985-12-27
阿迪尔·拉米,阿迪尔·拉米来自哪个国家？,法國
阿迪尔·拉米,阿迪尔·拉米的身高是多少？,190.0
阿迪尔·拉米,阿迪尔·拉米的性别是什么？,男
阿迪尔·拉米,阿迪尔·拉米的出生日期是什么？,1985-12-27
阿迪尔·拉米,阿迪尔·拉米来自哪个国家？,摩洛哥
阿迪尔·拉米,阿迪尔·拉米的身高是多少？,190.0
阿迪尔·拉米,阿迪尔·拉米的性别是什么？,男
约翰·卡巴耶,约翰·卡巴耶的出生日期是什么？,1986-01-14
约翰·卡巴耶,约翰·卡巴耶来自哪个国家？,法國
约翰·卡巴耶,约翰·卡巴耶的身高是多少？,174.0
约翰·卡巴耶,约翰·卡巴耶的性别是什么？,男
奥利弗·吉鲁,奥利弗·吉鲁的出生日期是什么？,1986-09-30
奥利弗·吉鲁,奥利弗·吉鲁来自哪个国家？,法國
奥利弗·吉鲁,奥利弗·吉鲁的身高是多少？,193.0
奥利弗·吉鲁,奥利弗·吉鲁的性别是什么？,男
卡里姆·本泽马,卡里姆·本泽马的出生日期是什么？,1987-12-19
卡里姆·本泽马,卡里姆·本泽马来自哪个国家？,法國
卡里姆·本泽马,卡里姆·本泽马的身高是多少？,185.0
卡里姆·本泽马,卡里姆·本泽马的性别是什么？,男
弗洛朗·马卢达,弗洛朗·马卢达的出生日期是什么？,1980-06-13
弗洛朗·马卢达,弗洛朗·马卢达来自哪个国家？,法國
弗洛朗·马卢达,弗洛朗·马卢达的身高是多少？,184.0
弗洛朗·马卢达,弗洛朗·马卢达的性别是什么？,男
羅倫·哥斯尼,羅倫·哥斯尼的出生日期是什么？,1985-09-10
羅倫·哥斯尼,羅倫·哥斯尼来自哪个国家？,法國
羅倫·哥斯尼,羅倫·哥斯尼的身高是多少？,186.0
羅倫·哥斯尼,羅倫·哥斯尼的性别是什么？,男
帕特里斯·埃夫拉,帕特里斯·埃夫拉的出生日期是什么？,1981-05-15
帕特里斯·埃夫拉,帕特里斯·埃夫拉来自哪个国家？,法國
帕特里斯·埃夫拉,帕特里斯·埃夫拉的身高是多少？,173.0
帕特里斯·埃夫拉,帕特里斯·埃夫拉的性别是什么？,男
帕特里斯·埃夫拉,帕特里斯·埃夫拉的出生日期是什么？,1981-05-15
帕特里斯·埃夫拉,帕特里斯·埃夫拉来自哪个国家？,塞内加尔
帕特里斯·埃夫拉,帕特里斯·埃夫拉的身高是多少？,173.0
帕特里斯·埃夫拉,帕特里斯·埃夫拉的性别是什么？,男
菲利普·梅克斯,菲利普·梅克斯的出生日期是什么？,1982-03-30
菲利普·梅克斯,菲利普·梅克斯来自哪个国家？,法國
菲利普·梅克斯,菲利普·梅克斯的身高是多少？,187.0
菲利普·梅克斯,菲利普·梅克斯的性别是什么？,男
弗兰克·里贝里,弗兰克·里贝里的出生日期是什么？,1983-04-07
弗兰克·里贝里,弗兰克·里贝里来自哪个国家？,法國
弗兰克·里贝里,弗兰克·里贝里的身高是多少？,170.0
弗兰克·里贝里,弗兰克·里贝里的性别是什么？,男
馬修·華貝拿,馬修·華貝拿的出生日期是什么？,1984-09-28
馬修·華貝拿,馬修·華貝拿来自哪个国家？,法國
馬修·華貝拿,馬修·華貝拿的身高是多少？,167.0
馬修·華貝拿,馬修·華貝拿的性别是什么？,男
萨米尔·纳斯里,萨米尔·纳斯里的出生日期是什么？,1987-06-26
萨米尔·纳斯里,萨米尔·纳斯里来自哪个国家？,法國
萨米尔·纳斯里,萨米尔·纳斯里的身高是多少？,175.0
萨米尔·纳斯里,萨米尔·纳斯里的性别是什么？,男
萨米尔·纳斯里,萨米尔·纳斯里的出生日期是什么？,1987-06-26
萨米尔·纳斯里,萨米尔·纳斯里来自哪个国家？,阿爾及利亞
萨米尔·纳斯里,萨米尔·纳斯里的身高是多少？,175.0
萨米尔·纳斯里,萨米尔·纳斯里的性别是什么？,男
布莱兹·马图伊迪,布莱兹·马图伊迪的出生日期是什么？,1987-04-09
布莱兹·马图伊迪,布莱兹·马图伊迪来自哪个国家？,法國
布莱兹·马图伊迪,布莱兹·马图伊迪的身高是多少？,180.0
布莱兹·马图伊迪,布莱兹·马图伊迪的性别是什么？,男
布莱兹·马图伊迪,布莱兹·马图伊迪的出生日期是什么？,1987-04-09
布莱兹·马图伊迪,布莱兹·马图伊迪来自哪个国家？,安哥拉
布莱兹·马图伊迪,布莱兹·马图伊迪的身高是多少？,180.0
布莱兹·马图伊迪,布莱兹·马图伊迪的性别是什么？,男
安东尼·雷维耶,安东尼·雷维耶的出生日期是什么？,1979-11-10
安东尼·雷维耶,安东尼·雷维耶来自哪个国家？,法國
安东尼·雷维耶,安东尼·雷维耶的身高是多少？,180.0
安东尼·雷维耶,安东尼·雷维耶的性别是什么？,男
杰雷米·梅內,杰雷米·梅內的出生日期是什么？,1987-05-07
杰雷米·梅內,杰雷米·梅內来自哪个国家？,法國
杰雷米·梅內,杰雷米·梅內的身高是多少？,183.0
杰雷米·梅內,杰雷米·梅內的性别是什么？,男
斯特弗·芒当达,斯特弗·芒当达的出生日期是什么？,1985-03-28
斯特弗·芒当达,斯特弗·芒当达来自哪个国家？,法國
斯特弗·芒当达,斯特弗·芒当达的身高是多少？,185.0
斯特弗·芒当达,斯特弗·芒当达的性别是什么？,男
斯特弗·芒当达,斯特弗·芒当达的出生日期是什么？,1985-03-28
斯特弗·芒当达,斯特弗·芒当达来自哪个国家？,刚果民主共和国
斯特弗·芒当达,斯特弗·芒当达的身高是多少？,185.0
斯特弗·芒当达,斯特弗·芒当达的性别是什么？,男
扬·姆维拉,扬·姆维拉的出生日期是什么？,1990-06-29
扬·姆维拉,扬·姆维拉来自哪个国家？,法國
扬·姆维拉,扬·姆维拉的身高是多少？,182.0
扬·姆维拉,扬·姆维拉的性别是什么？,男
扬·姆维拉,扬·姆维拉的出生日期是什么？,1990-06-29
扬·姆维拉,扬·姆维拉来自哪个国家？,剛果共和國
扬·姆维拉,扬·姆维拉的身高是多少？,182.0
扬·姆维拉,扬·姆维拉的性别是什么？,男
阿劳·迪亚拉,阿劳·迪亚拉的出生日期是什么？,1981-07-15
阿劳·迪亚拉,阿劳·迪亚拉来自哪个国家？,法國
阿劳·迪亚拉,阿劳·迪亚拉的身高是多少？,190.0
阿劳·迪亚拉,阿劳·迪亚拉的性别是什么？,男
馬文·馬丁,馬文·馬丁的出生日期是什么？,1988-01-10
馬文·馬丁,馬文·馬丁来自哪个国家？,法國
馬文·馬丁,馬文·馬丁的身高是多少？,171.0
馬文·馬丁,馬文·馬丁的性别是什么？,男
哈特姆·本阿尔法,哈特姆·本阿尔法的出生日期是什么？,1987-03-07
哈特姆·本阿尔法,哈特姆·本阿尔法来自哪个国家？,法國
哈特姆·本阿尔法,哈特姆·本阿尔法的身高是多少？,178.0
哈特姆·本阿尔法,哈特姆·本阿尔法的性别是什么？,男
哈特姆·本阿尔法,哈特姆·本阿尔法的出生日期是什么？,1987-03-07
哈特姆·本阿尔法,哈特姆·本阿尔法来自哪个国家？,突尼西亞
哈特姆·本阿尔法,哈特姆·本阿尔法的身高是多少？,178.0
哈特姆·本阿尔法,哈特姆·本阿尔法的性别是什么？,男
盖尔·克利希,盖尔·克利希的出生日期是什么？,1985-07-26
盖尔·克利希,盖尔·克利希来自哪个国家？,法國
盖尔·克利希,盖尔·克利希的身高是多少？,176.0
盖尔·克利希,盖尔·克利希的性别是什么？,男
塞德里克·卡拉索,塞德里克·卡拉索的出生日期是什么？,1981-12-30
塞德里克·卡拉索,塞德里克·卡拉索来自哪个国家？,法國
塞德里克·卡拉索,塞德里克·卡拉索的身高是多少？,187.0
塞德里克·卡拉索,塞德里克·卡拉索的性别是什么？,男
西德尼·戈武,西德尼·戈武的出生日期是什么？,1979-07-27
西德尼·戈武,西德尼·戈武来自哪个国家？,法國
西德尼·戈武,西德尼·戈武的身高是多少？,175.0
西德尼·戈武,西德尼·戈武的性别是什么？,男
埃里克·阿比达尔,埃里克·阿比达尔的出生日期是什么？,1979-09-11
埃里克·阿比达尔,埃里克·阿比达尔来自哪个国家？,法國
埃里克·阿比达尔,埃里克·阿比达尔的身高是多少？,186.0
埃里克·阿比达尔,埃里克·阿比达尔的性别是什么？,男
贾布里勒·西塞,贾布里勒·西塞的出生日期是什么？,1981-08-12
贾布里勒·西塞,贾布里勒·西塞来自哪个国家？,法國
贾布里勒·西塞,贾布里勒·西塞的身高是多少？,183.0
贾布里勒·西塞,贾布里勒·西塞的性别是什么？,男
贾布里勒·西塞,贾布里勒·西塞的出生日期是什么？,1981-08-12
贾布里勒·西塞,贾布里勒·西塞来自哪个国家？,科特迪瓦
贾布里勒·西塞,贾布里勒·西塞的身高是多少？,183.0
贾布里勒·西塞,贾布里勒·西塞的性别是什么？,男
威廉·加拉斯,威廉·加拉斯的出生日期是什么？,1977-08-17
威廉·加拉斯,威廉·加拉斯来自哪个国家？,法國
威廉·加拉斯,威廉·加拉斯的身高是多少？,181.0
威廉·加拉斯,威廉·加拉斯的性别是什么？,男
巴卡雷·萨尼亚,巴卡雷·萨尼亚的出生日期是什么？,1983-02-14
巴卡雷·萨尼亚,巴卡雷·萨尼亚来自哪个国家？,法國
巴卡雷·萨尼亚,巴卡雷·萨尼亚的身高是多少？,176.0
巴卡雷·萨尼亚,巴卡雷·萨尼亚的性别是什么？,男
尼古拉·阿内尔卡,尼古拉·阿内尔卡的出生日期是什么？,1979-03-14
尼古拉·阿内尔卡,尼古拉·阿内尔卡来自哪个国家？,法國
尼古拉·阿内尔卡,尼古拉·阿内尔卡的身高是多少？,185.0
尼古拉·阿内尔卡,尼古拉·阿内尔卡的性别是什么？,男
安德雷·皮埃爾·吉尼亞克,安德雷·皮埃爾·吉尼亞克的出生日期是什么？,1985-12-05
安德雷·皮埃爾·吉尼亞克,安德雷·皮埃爾·吉尼亞克来自哪个国家？,法國
安德雷·皮埃爾·吉尼亞克,安德雷·皮埃爾·吉尼亞克的身高是多少？,187.0
安德雷·皮埃爾·吉尼亞克,安德雷·皮埃爾·吉尼亞克的性别是什么？,男
塞巴斯蒂安·斯奎拉奇,塞巴斯蒂安·斯奎拉奇的出生日期是什么？,1980-08-11
塞巴斯蒂安·斯奎拉奇,塞巴斯蒂安·斯奎拉奇来自哪个国家？,法國
塞巴斯蒂安·斯奎拉奇,塞巴斯蒂安·斯奎拉奇的身高是多少？,185.0
塞巴斯蒂安·斯奎拉奇,塞巴斯蒂安·斯奎拉奇的性别是什么？,男
阿布·迪亚比,阿布·迪亚比的出生日期是什么？,1986-05-11
阿布·迪亚比,阿布·迪亚比来自哪个国家？,法國
阿布·迪亚比,阿布·迪亚比的身高是多少？,190.0
阿布·迪亚比,阿布·迪亚比的性别是什么？,男
阿布·迪亚比,阿布·迪亚比的出生日期是什么？,1986-05-11
阿布·迪亚比,阿布·迪亚比来自哪个国家？,科特迪瓦
阿布·迪亚比,阿布·迪亚比的身高是多少？,190.0
阿布·迪亚比,阿布·迪亚比的性别是什么？,男
热雷米·图拉朗,热雷米·图拉朗的出生日期是什么？,1983-09-10
热雷米·图拉朗,热雷米·图拉朗来自哪个国家？,法國
热雷米·图拉朗,热雷米·图拉朗的身高是多少？,183.0
热雷米·图拉朗,热雷米·图拉朗的性别是什么？,男
罗宾·范佩西,罗宾·范佩西的出生日期是什么？,1983-08-06
罗宾·范佩西,罗宾·范佩西来自哪个国家？,荷兰王国
罗宾·范佩西,罗宾·范佩西的身高是多少？,183.0
罗宾·范佩西,罗宾·范佩西的性别是什么？,男
Tom Biss,Tom Biss的出生日期是什么？,1993-01-20
Tom Biss,Tom Biss来自哪个国家？,新西兰
Tom Biss,Tom Biss的性别是什么？,男
Emil Rilke,Emil Rilke的出生日期是什么？,1983-11-19
Emil Rilke,Emil Rilke来自哪个国家？,捷克
Emil Rilke,Emil Rilke的身高是多少？,176.0
Emil Rilke,Emil Rilke的性别是什么？,男
丹尼斯·劳伦斯,丹尼斯·劳伦斯的出生日期是什么？,1974-08-01
丹尼斯·劳伦斯,丹尼斯·劳伦斯来自哪个国家？,千里達及托巴哥
丹尼斯·劳伦斯,丹尼斯·劳伦斯的身高是多少？,201.0
丹尼斯·劳伦斯,丹尼斯·劳伦斯的性别是什么？,男
C.K. Vineeth,C.K. Vineeth的出生日期是什么？,1988-05-20
C.K. Vineeth,C.K. Vineeth来自哪个国家？,印度
C.K. Vineeth,C.K. Vineeth的身高是多少？,178.0
C.K. Vineeth,C.K. Vineeth的性别是什么？,男
弗兰西斯泽克·斯姆达,弗兰西斯泽克·斯姆达的出生日期是什么？,1948-06-22
弗兰西斯泽克·斯姆达,弗兰西斯泽克·斯姆达来自哪个国家？,波蘭
弗兰西斯泽克·斯姆达,弗兰西斯泽克·斯姆达的身高是多少？,182.0
弗兰西斯泽克·斯姆达,弗兰西斯泽克·斯姆达的性别是什么？,男
T-killah,T-killah的出生日期是什么？,1989-04-30
T-killah,T-killah来自哪个国家？,俄罗斯
T-killah,T-killah的性别是什么？,男
拉甘比,拉甘比的出生日期是什么？,1952-08-15
拉甘比,拉甘比来自哪个国家？,法國
拉甘比,拉甘比的身高是多少？,171.0
拉甘比,拉甘比的性别是什么？,男
Fleury Di Nallo,Fleury Di Nallo的出生日期是什么？,1943-04-20
Fleury Di Nallo,Fleury Di Nallo来自哪个国家？,法國
Fleury Di Nallo,Fleury Di Nallo的身高是多少？,167.0
Fleury Di Nallo,Fleury Di Nallo的性别是什么？,男
塞日·基耶薩,塞日·基耶薩的出生日期是什么？,1950-12-25
塞日·基耶薩,塞日·基耶薩来自哪个国家？,法國
塞日·基耶薩,塞日·基耶薩的身高是多少？,168.0
塞日·基耶薩,塞日·基耶薩的性别是什么？,男
米歇尔·普拉蒂尼,米歇尔·普拉蒂尼的出生日期是什么？,1955-06-21
米歇尔·普拉蒂尼,米歇尔·普拉蒂尼来自哪个国家？,法國
米歇尔·普拉蒂尼,米歇尔·普拉蒂尼的身高是多少？,179.0
米歇尔·普拉蒂尼,米歇尔·普拉蒂尼的性别是什么？,男
弗朗茨·贝肯鲍尔,弗朗茨·贝肯鲍尔的出生日期是什么？,1945-09-11
弗朗茨·贝肯鲍尔,弗朗茨·贝肯鲍尔来自哪个国家？,德國
弗朗茨·贝肯鲍尔,弗朗茨·贝肯鲍尔的身高是多少？,181.0
弗朗茨·贝肯鲍尔,弗朗茨·贝肯鲍尔的性别是什么？,男
弗朗茨·贝肯鲍尔,弗朗茨·贝肯鲍尔的出生日期是什么？,1945-09-11
弗朗茨·贝肯鲍尔,弗朗茨·贝肯鲍尔来自哪个国家？,西德
弗朗茨·贝肯鲍尔,弗朗茨·贝肯鲍尔的身高是多少？,181.0
弗朗茨·贝肯鲍尔,弗朗茨·贝肯鲍尔的性别是什么？,男
约阿希姆·勒夫,约阿希姆·勒夫的出生日期是什么？,1960-02-03
约阿希姆·勒夫,约阿希姆·勒夫来自哪个国家？,德國
约阿希姆·勒夫,约阿希姆·勒夫的身高是多少？,182.0
约阿希姆·勒夫,约阿希姆·勒夫的性别是什么？,男
肖恩·康纳利,肖恩·康纳利的出生日期是什么？,1930-08-25
肖恩·康纳利,肖恩·康纳利来自哪个国家？,英国
肖恩·康纳利,肖恩·康纳利的身高是多少？,1.89
肖恩·康纳利,肖恩·康纳利的性别是什么？,男
劳尔·阿尔维奥尔,劳尔·阿尔维奥尔的出生日期是什么？,1985-09-04
劳尔·阿尔维奥尔,劳尔·阿尔维奥尔来自哪个国家？,西班牙
劳尔·阿尔维奥尔,劳尔·阿尔维奥尔的身高是多少？,190.0
劳尔·阿尔维奥尔,劳尔·阿尔维奥尔的性别是什么？,男
Andre de Kruijff,Andre de Kruijff的出生日期是什么？,1895-04-09
Andre de Kruijff,Andre de Kruijff来自哪个国家？,荷兰王国
Andre de Kruijff,Andre de Kruijff的身高是多少？,180.0
Andre de Kruijff,Andre de Kruijff的性别是什么？,男
雅辛·本齊亞,雅辛·本齊亞的出生日期是什么？,1994-09-08
雅辛·本齊亞,雅辛·本齊亞来自哪个国家？,法國
雅辛·本齊亞,雅辛·本齊亞的身高是多少？,179.0
雅辛·本齊亞,雅辛·本齊亞的性别是什么？,男
雅辛·本齊亞,雅辛·本齊亞的出生日期是什么？,1994-09-08
雅辛·本齊亞,雅辛·本齊亞来自哪个国家？,阿爾及利亞
雅辛·本齊亞,雅辛·本齊亞的身高是多少？,179.0
雅辛·本齊亞,雅辛·本齊亞的性别是什么？,男
Júnior César Moreira da Cunha,Júnior César Moreira da Cunha的出生日期是什么？,1985-04-05
Júnior César Moreira da Cunha,Júnior César Moreira da Cunha来自哪个国家？,巴西
Júnior César Moreira da Cunha,Júnior César Moreira da Cunha的身高是多少？,167.0
Júnior César Moreira da Cunha,Júnior César Moreira da Cunha的性别是什么？,男
Yves Mariot,Yves Mariot的出生日期是什么？,1948-07-05
Yves Mariot,Yves Mariot来自哪个国家？,法國
Yves Mariot,Yves Mariot的性别是什么？,男
Michele Pellizzer,Michele Pellizzer的出生日期是什么？,1989-05-22
Michele Pellizzer,Michele Pellizzer来自哪个国家？,意大利
Michele Pellizzer,Michele Pellizzer的身高是多少？,188.0
Michele Pellizzer,Michele Pellizzer的性别是什么？,男
Jan de Kreek,Jan de Kreek的出生日期是什么？,1903-10-11
Jan de Kreek,Jan de Kreek来自哪个国家？,荷兰王国
Jan de Kreek,Jan de Kreek的性别是什么？,男
阿贝尔·沙维尔,阿贝尔·沙维尔的出生日期是什么？,1972-11-30
阿贝尔·沙维尔,阿贝尔·沙维尔来自哪个国家？,葡萄牙
阿贝尔·沙维尔,阿贝尔·沙维尔的身高是多少？,189.0
阿贝尔·沙维尔,阿贝尔·沙维尔的性别是什么？,男
阿贝尔·沙维尔,阿贝尔·沙维尔的出生日期是什么？,1972-11-30
阿贝尔·沙维尔,阿贝尔·沙维尔来自哪个国家？,莫桑比克
阿贝尔·沙维尔,阿贝尔·沙维尔的身高是多少？,189.0
阿贝尔·沙维尔,阿贝尔·沙维尔的性别是什么？,男
尤根·波兰斯基,尤根·波兰斯基的出生日期是什么？,1986-03-17
尤根·波兰斯基,尤根·波兰斯基来自哪个国家？,波蘭
尤根·波兰斯基,尤根·波兰斯基的身高是多少？,183.0
尤根·波兰斯基,尤根·波兰斯基的性别是什么？,男
尤根·波兰斯基,尤根·波兰斯基的出生日期是什么？,1986-03-17
尤根·波兰斯基,尤根·波兰斯基来自哪个国家？,德國
尤根·波兰斯基,尤根·波兰斯基的身高是多少？,183.0
尤根·波兰斯基,尤根·波兰斯基的性别是什么？,男
丹尼·罗辛,丹尼·罗辛的出生日期是什么？,1980-05-18
丹尼·罗辛,丹尼·罗辛来自哪个国家？,德國
丹尼·罗辛,丹尼·罗辛的性别是什么？,男
丹尼·罗辛,丹尼·罗辛的出生日期是什么？,1980-05-18
丹尼·罗辛,丹尼·罗辛来自哪个国家？,東德
丹尼·罗辛,丹尼·罗辛的性别是什么？,男
尼尔斯·玻尔,尼尔斯·玻尔的出生日期是什么？,1885-10-07
尼尔斯·玻尔,尼尔斯·玻尔来自哪个国家？,丹麥王國
尼尔斯·玻尔,尼尔斯·玻尔的性别是什么？,男
吉安弗蘭科·佐拉,吉安弗蘭科·佐拉的出生日期是什么？,1966-07-05
吉安弗蘭科·佐拉,吉安弗蘭科·佐拉来自哪个国家？,意大利
吉安弗蘭科·佐拉,吉安弗蘭科·佐拉的身高是多少？,168.0
吉安弗蘭科·佐拉,吉安弗蘭科·佐拉的性别是什么？,男
格拉咸·泰萊,格拉咸·泰萊的出生日期是什么？,1944-09-15
格拉咸·泰萊,格拉咸·泰萊来自哪个国家？,英国
格拉咸·泰萊,格拉咸·泰萊的性别是什么？,男
姬莉·史密芙,姬莉·史密芙的出生日期是什么？,1978-10-29
姬莉·史密芙,姬莉·史密芙来自哪个国家？,英国
姬莉·史密芙,姬莉·史密芙的身高是多少？,168.0
姬莉·史密芙,姬莉·史密芙的性别是什么？,女
佛朗西斯科·法拉洛,佛朗西斯科·法拉洛的出生日期是什么？,1910-02-05
佛朗西斯科·法拉洛,佛朗西斯科·法拉洛来自哪个国家？,阿根廷
佛朗西斯科·法拉洛,佛朗西斯科·法拉洛的身高是多少？,170.0
佛朗西斯科·法拉洛,佛朗西斯科·法拉洛的性别是什么？,男
大卫·贝克汉姆,大卫·贝克汉姆的出生日期是什么？,1975-05-02
大卫·贝克汉姆,大卫·贝克汉姆来自哪个国家？,英国
大卫·贝克汉姆,大卫·贝克汉姆的身高是多少？,183.0
大卫·贝克汉姆,大卫·贝克汉姆的性别是什么？,男
瑞恩·吉格斯,瑞恩·吉格斯的出生日期是什么？,1973-11-29
瑞恩·吉格斯,瑞恩·吉格斯来自哪个国家？,英国
瑞恩·吉格斯,瑞恩·吉格斯的身高是多少？,180.0
瑞恩·吉格斯,瑞恩·吉格斯的性别是什么？,男
路德·比利席特,路德·比利席特的出生日期是什么？,1958-02-01
路德·比利席特,路德·比利席特来自哪个国家？,英国
路德·比利席特,路德·比利席特的身高是多少？,180.0
路德·比利席特,路德·比利席特的性别是什么？,男
路德·比利席特,路德·比利席特的出生日期是什么？,1958-02-01
路德·比利席特,路德·比利席特来自哪个国家？,牙買加
路德·比利席特,路德·比利席特的身高是多少？,180.0
路德·比利席特,路德·比利席特的性别是什么？,男
Tommy Mooney,Tommy Mooney的出生日期是什么？,1971-08-11
Tommy Mooney,Tommy Mooney来自哪个国家？,英国
Tommy Mooney,Tommy Mooney的性别是什么？,男
Nigel Gibbs,Nigel Gibbs的出生日期是什么？,1965-11-20
Nigel Gibbs,Nigel Gibbs来自哪个国家？,英国
Nigel Gibbs,Nigel Gibbs的性别是什么？,男
罗伯特·佩奇,罗伯特·佩奇的出生日期是什么？,1974-09-03
罗伯特·佩奇,罗伯特·佩奇来自哪个国家？,英国
罗伯特·佩奇,罗伯特·佩奇的性别是什么？,男
弗朗切斯科·蒙坦尼斯,弗朗切斯科·蒙坦尼斯的出生日期是什么？,1986-10-08
弗朗切斯科·蒙坦尼斯,弗朗切斯科·蒙坦尼斯来自哪个国家？,西班牙
弗朗切斯科·蒙坦尼斯,弗朗切斯科·蒙坦尼斯的身高是多少？,172.0
